track_id,genre,bpm,audio_path
006655,Electronic,126.956,/home/kian/fyp-final/FYP/data/ground_truth/fma_medium/fma_medium/006/006655.mp3
020447,Rock,141.214,/home/kian/fyp-final/FYP/data/ground_truth/fma_medium/fma_medium/020/020447.mp3
035456,Jazz,130.003,/home/kian/fyp-final/FYP/data/ground_truth/fma_medium/fma_medium/035/035456.mp3
006662,Electronic,102.988,/home/kian/fyp-final/FYP/data/ground_truth/fma_medium/fma_medium/006/006662.mp3
018197,Rock,110.4,/home/kian/fyp-final/FYP/data/ground_truth/fma_medium/fma_medium/018/018197.mp3
004787,Rock,167.849,/home/kian/fyp-final/FYP/data/ground_truth/fma_medium/fma_medium/004/004787.mp3
066851,Electronic,169.985,/home/kian/fyp-final/FYP/data/ground_truth/fma_medium/fma_medium/066/066851.mp3
037726,Rock,135.006,/home/kian/fyp-final/FYP/data/ground_truth/fma_medium/fma_medium/037/037726.mp3
027569,Electronic,137.958,/home/kian/fyp-final/FYP/data/ground_truth/fma_medium/fma_medium/027/027569.mp3
115386,Electronic,187.541,/home/kian/fyp-final/FYP/data/ground_truth/fma_medium/fma_medium/115/115386.mp3
076500,Rock,116.917,/home/kian/fyp-final/FYP/data/ground_truth/fma_medium/fma_medium/076/076500.mp3
026018,Hip-Hop,74.411,/home/kian/fyp-final/FYP/data/ground_truth/fma_medium/fma_medium/026/026018.mp3
016023,Blues,105.322,/home/kian/fyp-final/FYP/data/ground_truth/fma_medium/fma_medium/016/016023.mp3
015857,Hip-Hop,152.889,/home/kian/fyp-final/FYP/data/ground_truth/fma_medium/fma_medium/015/015857.mp3
050369,Jazz,119.533,/home/kian/fyp-final/FYP/data/ground_truth/fma_medium/fma_medium/050/050369.mp3
028118,Classical,35.982,/home/kian/fyp-final/FYP/data/ground_truth/fma_medium/fma_medium/028/028118.mp3
055550,Hip-Hop,112.048,/home/kian/fyp-final/FYP/data/ground_truth/fma_medium/fma_medium/055/055550.mp3
011777,Hip-Hop,83.993,/home/kian/fyp-final/FYP/data/ground_truth/fma_medium/fma_medium/011/011777.mp3
004683,Hip-Hop,87.88,/home/kian/fyp-final/FYP/data/ground_truth/fma_medium/fma_medium/004/004683.mp3
013197,Pop,116.015,/home/kian/fyp-final/FYP/data/ground_truth/fma_medium/fma_medium/013/013197.mp3
048403,Classical,122.387,/home/kian/fyp-final/FYP/data/ground_truth/fma_medium/fma_medium/048/048403.mp3
047755,Jazz,137.971,/home/kian/fyp-final/FYP/data/ground_truth/fma_medium/fma_medium/047/047755.mp3
077572,Pop,120.039,/home/kian/fyp-final/FYP/data/ground_truth/fma_medium/fma_medium/077/077572.mp3
013328,Pop,114.867,/home/kian/fyp-final/FYP/data/ground_truth/fma_medium/fma_medium/013/013328.mp3
016237,Jazz,82.584,/home/kian/fyp-final/FYP/data/ground_truth/fma_medium/fma_medium/016/016237.mp3
014053,Jazz,240.122,/home/kian/fyp-final/FYP/data/ground_truth/fma_medium/fma_medium/014/014053.mp3
001649,Pop,241.259,/home/kian/fyp-final/FYP/data/ground_truth/fma_medium/fma_medium/001/001649.mp3
021799,Blues,89.543,/home/kian/fyp-final/FYP/data/ground_truth/fma_medium/fma_medium/021/021799.mp3
011397,Classical,111.184,/home/kian/fyp-final/FYP/data/ground_truth/fma_medium/fma_medium/011/011397.mp3
023141,Classical,89.984,/home/kian/fyp-final/FYP/data/ground_truth/fma_medium/fma_medium/023/023141.mp3
010806,Pop,46.701,/home/kian/fyp-final/FYP/data/ground_truth/fma_medium/fma_medium/010/010806.mp3
011758,Classical,101.372,/home/kian/fyp-final/FYP/data/ground_truth/fma_medium/fma_medium/011/011758.mp3
019133,Blues,155.13,/home/kian/fyp-final/FYP/data/ground_truth/fma_medium/fma_medium/019/019133.mp3
001047,Blues,97.098,/home/kian/fyp-final/FYP/data/ground_truth/fma_medium/fma_medium/001/001047.mp3
021800,Blues,118.774,/home/kian/fyp-final/FYP/data/ground_truth/fma_medium/fma_medium/021/021800.mp3
